Knowledge Base Article Title	16-Mar	16-Feb	16-Jan	15-Dec	15-Nov	15-Oct	15-Sep	15-Aug	15-Jul	15-Jun	15-May	15-Apr	15-Mar	15-Feb	15-Jan	14-Dec	14-Nov	14-Oct	14-Sep	14-Aug	14-Jul	14-Jun	14-May	14-Apr	14-Mar	14-Feb	14-Jan	13-Dec	13-Nov	13-Oct	13-Sep	13-Aug	13-Jul	13-Jun	13-May	13-Apr	13-Mar	13-Feb	13-Jan	12-Dec	12-Nov	12-Oct	12-Sep	12-Aug	12-Jul	Total
Facilities Requests for 311 employees	11	13	18	25	10	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118
Home Improvement/Maintenance Noise Complaints	11	12	4	7	3	11	20	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73
Location of - Sidewalk Public Toilet (JC Decaux) - Tokens provided by JC Decaux	11	6	3	6	7	0	4	3	1	8	4	3	1	3	1	4	2	7	2	2	0	2	1	1	0	0	0	1	2	0	0	0	2	0	3	2	0	2	0	1	0	0	0	0	0	95
Office of Labor Standards Enforcement - Statement of Non-Performance Form	11	7	5	10	4	6	4	10	9	9	6	5	10	5	5	5	4	4	2	3	9	5	11	9	7	3	6	1	11	3	5	8	8	6	8	8	7	7	8	4	4	5	4	8	1	280
Request Replacement of Clipper Card	11	12	23	19	26	23	20	17	11	12	8	6	9	9	10	1	10	8	11	6	9	5	11	17	13	12	17	10	14	9	14	16	8	0	0	0	0	0	0	0	0	0	0	0	0	407
SFUSD (San Francisco Unified School District) statistics	11	5	4	10	5	6	6	1	6	5	9	6	9	9	2	14	4	4	6	8	6	5	9	12	12	3	13	3	6	3	6	10	9	4	6	5	8	5	4	5	7	5	4	4	0	284
Small Claims - All Matters	11	7	6	5	6	4	7	13	9	6	11	5	10	7	13	9	9	5	9	3	11	7	2	5	4	4	5	4	2	7	0	9	7	6	4	4	4	10	4	3	9	4	4	8	0	282
Superior Court - Criminal Division -  Fee Schedule	11	9	10	3	3	3	2	1	3	4	3	6	2	1	3	7	0	4	5	1	4	9	5	1	3	7	6	2	4	11	3	2	4	7	3	3	0	0	1	0	0	0	0	1	0	157
Traffic Citation Payment - FAQ - Who should I contact if I need more information about my traffic citation?	11	8	8	16	11	10	8	8	7	8	7	9	5	16	10	13	4	15	15	10	9	14	18	13	7	11	10	6	12	13	11	9	18	14	15	10	14	16	5	7	7	18	11	10	1	478
W-9 from the City - Setting Up Account with City	11	8	5	3	2	0	2	6	1	5	3	1	7	11	2	6	6	6	5	1	3	5	2	3	4	1	4	5	6	2	4	9	7	5	6	1	7	3	0	4	6	5	0	0	0	183
What do you do if you get cited for a POP policy violation?	11	13	9	8	12	14	14	18	17	12	4	16	5	12	10	15	22	10	18	7	7	6	8	8	10	14	14	7	9	17	11	14	15	9	26	26	10	15	12	11	14	5	9	23	2	549
What is a Mechanics Lien?	11	1	6	8	4	7	3	6	2	0	3	4	1	1	2	1	4	3	2	14	1	1	4	2	5	0	4	2	1	5	1	1	2	5	5	6	1	3	2	4	9	1	4	4	0	156
Where to Buy Side Sewer Vent Covers	11	4	7	7	8	5	7	14	10	9	9	10	6	9	15	12	3	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161
AC34 - Housing	10	6	2	0	0	0	3	0	3	2	1	3	0	2	1	1	2	3	0	1	1	2	4	1	2	5	3	2	2	0	1	4	6	4	2	2	2	0	0	0	0	0	0	9	22	114
Adult Protective Services (APS)	10	24	5	10	9	7	6	10	5	7	8	12	11	14	15	13	19	17	26	21	20	18	5	7	13	8	15	11	10	16	7	12	8	14	15	15	14	4	10	7	8	8	10	12	2	518
Assessor Recorder - Historical Records	10	6	7	6	4	9	7	1	8	7	10	11	11	12	3	3	0	2	2	5	1	1	7	3	8	1	3	1	2	18	12	13	10	10	6	7	5	12	9	5	8	5	6	5	1	283
City Attorney - Enforcing the city codes to Help  the Neighborhoods	10	5	11	1	2	3	6	2	4	6	13	4	8	11	9	7	5	6	9	6	7	2	3	4	4	6	4	2	5	2	4	5	7	3	7	6	6	0	0	0	0	0	0	0	0	205
Complaint: Pigeons roosting	10	6	2	0	2	6	15	9	12	17	5	3	5	3	6	3	1	3	7	2	5	4	6	2	3	2	5	3	2	4	8	6	3	8	3	1	5	1	1	1	1	3	3	3	0	200
Department of Aging and Adult Services (DAAS) - General Information	10	4	13	10	13	17	9	13	12	4	5	10	9	1	9	11	6	13	8	7	8	7	4	6	5	6	3	4	5	11	9	3	5	15	6	17	11	0	0	0	0	0	0	0	0	309
DPW Citations or Court Appointments	10	2	17	8	11	1	9	6	7	5	3	5	6	4	7	2	6	11	7	7	6	3	8	7	16	3	6	8	2	3	2	6	0	4	7	5	4	0	0	0	0	0	0	0	0	224
"Elections - Poll worker, Elections Officer - Application"	10	2	2	4	25	34	11	7	3	3	0	0	1	2	1	3	30	30	9	3	1	10	9	10	1	2	2	3	29	13	2	8	1	0	4	2	2	0	6	1	25	62	21	2	0	396
"I sold the property, but received a property tax bill."	10	41	17	59	212	298	3	2	5	21	3	8	7	3	16	44	93	151	3	1	8	6	4	2	15	7	8	10	52	49	3	3	2	11	4	8	9	2	2	6	29	93	1	1	1	1333
Internet Crime Complaint Center (Online Fraud)	10	1	2	4	0	0	3	3	8	3	2	9	4	3	1	7	0	0	7	6	2	5	7	1	5	1	10	5	11	8	1	3	5	8	4	6	4	3	1	2	0	3	0	2	0	170
Large Event / Venue Related Noise Complaints	10	28	5	3	11	34	158	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252
Live Scan (Fingerprint Services)	10	1	5	2	2	1	6	0	7	1	7	3	1	0	3	6	2	3	2	6	2	4	5	6	4	5	8	2	4	5	4	5	6	3	8	5	8	5	2	5	9	8	5	5	0	191
Massage Parlor - All Matters	10	1	2	2	5	2	5	9	5	3	1	5	4	0	1	0	4	1	0	3	2	5	15	4	4	8	4	4	2	3	1	2	0	2	2	8	8	1	1	1	1	0	1	0	0	142
Mayors Office - Schedule an Interview	10	2	0	0	0	0	0	3	2	1	1	1	0	0	1	0	2	3	1	0	0	0	1	0	2	0	0	1	0	1	0	1	0	1	1	0	0	5	0	1	0	1	3	2	0	47
Mayors Schedule	10	0	1	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	18
MTA Employment Verification	10	5	6	12	3	7	23	10	7	8	5	13	13	7	5	2	4	4	5	4	1	3	1	2	2	3	11	5	0	4	3	4	5	10	4	1	9	3	0	1	1	1	3	8	1	239
Multi-Service Center South (MSC South) - Shelter	10	6	9	7	4	13	3	2	2	4	4	2	7	2	1	0	6	2	11	2	10	4	7	10	10	4	2	3	3	1	1	0	3	2	1	0	0	1	2	0	0	0	4	4	0	169
Overnight Tour Bus / Motorcoach Parking Information	10	5	10	0	0	0	9	10	4	5	2	11	4	3	4	2	4	2	14	6	4	3	8	18	4	0	9	3	8	3	9	1	6	14	1	4	4	1	0	1	0	1	3	0	0	210
Parking Holiday Enforcement Schedule	10	76	129	94	192	18	146	6	64	9	120	2	6	130	235	123	106	56	90	34	136	8	69	17	8	101	133	102	154	223	293	148	300	3	98	5	7	120	183	211	194	54	88	5	7	4313
Police Barricade Request	10	8	3	1	1	3	8	3	7	3	3	6	2	2	2	4	4	9	6	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90
"Recycling Bottles, Aluminum Cans - Locations"	10	10	8	9	1	6	5	3	5	1	3	7	5	7	5	12	11	11	17	16	19	8	8	9	6	8	8	4	4	12	15	11	7	2	4	3	4	1	1	1	3	5	0	2	0	297
Seller's Permit (aka Wholesaler or Resale License) - State Board of Equalization	10	5	11	11	7	5	7	8	12	7	8	7	12	10	6	6	4	10	7	9	1	6	6	4	9	2	10	8	4	4	5	7	5	17	5	6	1	2	14	0	3	8	1	2	0	292
SFpark Parking Meter and Sensor Program - All Matters	10	14	14	6	11	15	16	15	16	14	16	20	22	14	20	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229
Subpoena to City (Serve the City Legal Papers)	10	4	8	17	1	0	2	4	3	6	1	6	0	5	2	0	4	2	1	1	1	4	0	2	1	2	0	1	2	6	3	0	1	2	2	1	4	5	10	4	1	3	4	0	0	136
Water and Sewer Projects	10	4	3	7	8	3	7	5	8	4	6	4	3	3	7	13	4	9	6	8	4	1	4	5	7	5	4	7	3	4	7	3	4	4	5	11	7	7	6	5	9	4	0	6	0	244
Legal Assistance for persons without Lawyers	8	6	2	6	5	13	10	4	6	5	4	5	6	5	8	7	2	7	14	5	10	7	6	14	10	1	10	3	6	9	5	6	8	8	13	12	6	2	2	1	1	3	4	2	0	277
When can I put the Trash (Garbage) out for collection?	10	1	6	9	11	12	14	9	5	8	4	2	7	3	10	6	11	9	4	6	12	8	4	7	14	3	2	5	6	5	6	9	9	5	3	3	10	5	4	17	6	4	8	18	1	321
"Bus Stops, bus signs, bus zones - move, establish or eliminate"	9	7	5	2	8	5	7	16	5	4	9	7	4	7	5	3	1	6	1	2	2	1	1	4	4	1	1	3	2	0	4	3	1	2	1	1	2	3	1	1	3	2	0	1	0	157
"Child may be exposed to lead paint (or lead dust, or lead in soil).  Who can help me?"	9	7	5	6	1	4	13	5	8	8	10	6	3	3	2	1	7	3	3	1	5	10	3	3	1	2	4	1	4	7	9	5	6	3	4	4	2	1	5	0	1	1	3	5	0	194
Complaints/Comments - MTA Enforcement (DPT)	9	15	7	9	12	5	3	3	5	9	2	5	10	7	10	9	6	4	2	5	3	8	9	4	11	28	9	10	4	7	7	9	5	6	6	9	16	15	10	5	9	11	9	8	1	356
Domestic Partners - Forms	9	6	9	13	1	5	0	3	3	5	5	8	4	3	4	5	2	5	4	2	5	3	6	3	5	5	10	8	4	4	2	1	12	7	9	6	4	4	1	0	0	1	3	3	1	203
DPT - Traffic Signal - Report Broken / Repair Request	9	3	4	8	8	4	12	7	5	3	7	9	8	1	4	2	8	7	4	3	2	5	1	1	0	6	5	3	2	2	3	1	1	1	1	2	3	2	5	1	3	2	6	3	0	177
"Federal, State, School, Other Jurisdiction Noise"	9	8	10	5	10	5	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76
File A Complaint of Police Misconduct	9	8	3	8	5	7	11	16	6	13	6	9	9	15	10	6	9	5	6	6	8	7	6	3	10	11	10	8	5	10	2	2	3	2	4	4	2	0	3	1	3	3	5	1	0	280
"Free Assistance to Seniors and Adults with Disabilities (Supportive Housing, Senior Services, Education, Shelters)"	9	19	12	12	11	15	20	11	11	16	4	11	22	20	19	6	9	9	8	8	16	11	13	7	22	24	15	7	8	16	8	14	9	14	7	22	9	11	13	11	6	8	8	9	2	542
Housing - Single Room Occupancy (SRO)	9	15	10	12	11	6	8	9	15	10	20	11	16	10	17	20	12	16	15	9	15	15	8	6	9	7	14	6	4	11	2	1	6	9	4	11	3	2	3	3	0	3	2	3	1	399
How can I get a copy of my Grant Deed?	9	5	13	4	10	10	7	8	12	10	8	1	8	7	6	9	8	10	1	10	7	9	11	14	14	10	10	11	11	14	11	21	11	9	9	8	17	13	14	7	11	6	6	8	0	418
Human Services Agency - referral form	9	1	4	3	3	4	3	6	4	0	5	2	3	3	2	8	7	2	7	3	5	2	3	5	5	5	1	6	5	5	3	2	5	2	2	2	3	1	2	0	1	1	3	0	0	148
I changed my name.  How do I get a new deed recorded?	9	8	10	7	6	8	3	6	8	4	3	1	5	2	7	5	0	5	1	5	3	0	5	2	4	4	2	3	6	8	2	3	8	6	3	3	9	2	2	2	3	6	1	2	0	192
"Information For Cash Aid and Food Stamp Programs, Medi-Cal/State-Run County MediCal Services Program (CMSP)"	9	10	9	8	7	10	5	8	9	5	4	7	5	4	6	17	14	19	22	14	10	23	10	22	19	19	32	22	9	21	6	11	8	20	11	6	10	13	7	9	7	8	7	8	2	512
"Lead Paint concerns due to Construction,Demolition or Painting"	9	11	5	7	7	8	14	8	4	11	13	6	11	4	2	2	11	1	8	12	7	8	6	5	6	6	7	3	6	11	7	10	13	5	7	10	1	1	6	4	0	9	6	7	3	308
Lowered Flags	9	0	0	0	1	0	0	0	2	3	0	2	1	0	0	0	3	0	0	1	0	0	0	0	1	0	0	2	1	2	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	33
Mayors Office - Office of Commerce and Trade	9	2	3	1	1	1	0	1	1	1	2	1	3	3	0	2	5	5	0	0	0	0	0	1	0	2	3	5	4	0	1	1	3	3	2	1	1	0	0	0	0	0	0	0	0	68
Mayors Office - Photo Gallery	9	1	0	1	2	2	0	0	4	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	26
Mayors Office of Neighborhood Services (MONS) - General Information	9	8	3	3	5	9	11	10	3	12	2	4	1	4	7	7	3	10	4	7	2	4	4	3	3	5	7	10	4	11	1	7	2	3	5	7	6	5	3	7	4	11	6	19	2	263
"Mechanical Equipment- Air Conditioning, Vent, Heat, Generator, Motor - NOT Serving Public / Emergency "	9	8	2	2	6	15	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67
Next Door - Shelter (Episcopal Community Services - ECS)	9	8	18	6	4	4	5	10	4	2	11	16	17	13	6	3	3	11	6	4	5	5	3	3	1	1	3	8	5	6	2	0	6	8	4	8	2	3	4	5	0	3	1	3	0	249
Port of San Francisco Parking Meter / Credit Card Charge Dispute / SFpark Parking Meter	9	8	5	7	7	7	12	15	7	11	4	8	8	10	5	12	16	17	9	18	15	14	12	13	16	12	16	12	10	18	12	12	15	19	19	7	24	3	8	8	9	17	10	15	0	511
Report - Disabled Placard Abuse	9	5	2	5	3	11	8	8	4	11	3	11	7	2	8	5	6	12	11	7	11	5	7	16	10	5	13	9	7	11	8	6	9	18	11	6	16	3	5	4	6	7	7	11	0	349
San Francisco General Hospital Emergency Room Contact	9	3	7	9	6	5	6	8	2	5	8	6	6	3	6	6	4	6	8	9	6	6	6	4	9	7	6	8	7	5	7	9	14	7	12	10	8	11	6	7	3	0	0	0	0	280
Shelter Monitoring Committee	9	17	24	15	12	8	11	6	5	4	3	7	3	5	10	0	6	3	7	9	3	1	2	2	1	7	0	5	0	2	2	0	2	1	2	2	1	0	1	2	0	0	0	0	0	200
US Immigration and Naturalization Service	9	8	6	10	5	2	6	4	4	7	5	8	8	8	2	7	13	4	13	7	9	3	8	8	12	10	5	10	4	12	7	12	13	2	6	6	4	3	4	7	5	4	1	2	3	296
Vendor Status Verification with City	9	4	4	6	6	3	9	7	6	4	8	10	8	5	3	4	0	7	6	5	0	3	7	1	1	3	8	1	1	5	4	10	4	9	2	1	3	0	0	0	0	2	0	0	0	179
"Accessible Public Transportation - Accessibility / ADA Complaints, Muni Accessibility Advisory Committee, Paratransit Coordinating Council, Access Update"	8	7	1	7	14	13	26	9	12	6	5	4	6	2	5	5	3	7	9	8	8	7	8	6	10	8	8	1	5	4	12	12	3	15	27	23	29	2	2	1	6	4	4	8	0	370
Caller Accidentally Closed Business Registration	8	6	3	3	4	5	6	13	9	28	18	7	3	9	1	1	2	1	2	3	4	7	10	6	11	3	1	2	0	3	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	185
Child Protection Center (aka Child Protective Services)	8	5	7	9	4	4	6	6	8	3	9	2	8	6	5	6	12	7	8	10	18	8	10	6	9	9	7	9	5	5	7	4	11	13	11	8	11	9	5	9	14	5	4	13	0	343
City Vehicle ID - IDs Listed by Department	8	5	9	13	10	6	5	7	10	8	11	9	10	2	8	4	7	8	8	4	13	8	9	7	11	4	8	5	7	18	5	7	10	6	13	13	16	1	2	3	0	1	0	2	1	322
Community Safety Cameras	8	1	2	2	8	4	1	2	1	6	1	0	1	0	0	0	3	2	1	2	0	4	1	3	1	3	5	0	3	5	4	7	3	1	3	2	3	0	1	0	0	1	3	3	0	101
Complaint: bed bug infestation in a residential/homeless hotel	8	9	4	1	15	6	9	7	8	2	2	1	7	5	5	4	9	10	18	6	6	1	3	3	2	0	5	3	3	10	5	2	5	6	3	1	3	0	1	1	5	3	2	3	0	212
"Complaint: Fleas, Bed Bugs, Insects in Hotel Room"	8	10	1	2	15	4	4	10	11	5	3	3	10	3	8	4	1	7	18	9	7	5	3	6	4	3	1	4	3	9	8	9	8	11	6	2	5	1	2	4	2	2	6	5	0	252
Contractor Permit Fees	8	5	3	8	4	8	3	4	5	11	2	2	4	3	5	3	3	2	7	1	1	4	5	2	1	4	6	1	1	1	1	1	2	1	3	0	1	0	3	0	1	2	2	2	0	136
Courts - Small Claims - Legal Advisor	8	7	6	4	2	2	5	6	2	2	1	1	3	4	7	7	3	9	3	5	2	2	1	2	7	4	3	4	5	6	3	7	7	5	7	5	8	5	5	4	5	4	3	1	1	193
Employment Development Dept (EDD aka Unemployment Office)	8	5	5	8	3	10	4	12	7	5	7	11	10	6	12	6	2	10	6	3	7	19	8	13	6	19	15	8	14	15	14	10	14	9	9	13	13	12	15	13	13	12	15	11	9	446
Graffiti - All Matters for the Public	8	4	6	4	5	6	5	7	8	7	5	9	6	9	7	4	2	6	5	4	7	4	6	9	5	5	2	4	4	5	3	7	6	8	9	2	11	1	0	0	2	0	0	1	0	218
Housing - All Matters	8	5	4	3	0	8	2	7	6	6	7	9	7	4	6	3	6	7	7	6	7	4	2	3	9	7	4	10	1	3	1	9	9	4	5	4	14	4	3	3	9	0	6	1	0	233
How to Become a Process Server	8	1	8	2	0	0	0	0	0	0	1	0	1	0	2	0	1	0	6	0	3	1	2	1	1	0	0	4	2	2	2	1	2	1	1	2	1	3	2	1	0	0	4	4	0	70
Interfaith Winter Shelter Schedule	8	12	32	40	29	0	0	0	0	0	0	1	1	11	11	14	8	1	1	1	0	0	0	0	2	3	7	4	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	191
Lead Hazard Control Program/Lead Prevention Program	8	3	4	3	2	2	7	6	5	1	8	5	8	1	0	3	3	3	2	5	4	3	1	1	3	10	2	1	3	0	5	7	4	8	1	1	1	0	2	1	2	1	1	1	0	142
"Mayors Office - Office of Protocol (for diplomatic, consular matters, important civic matters with heads of state, sister city programs)"	8	6	1	1	4	0	2	1	2	2	3	0	3	0	2	2	0	3	3	0	2	0	0	2	2	1	4	0	1	0	0	0	0	0	2	0	0	1	4	0	1	3	0	0	0	66
Medical Cannabis (Marijuana) Dispensaries	8	3	5	4	4	2	4	5	2	3	1	1	3	2	1	0	4	2	6	4	3	7	1	2	5	0	8	1	2	0	1	1	1	3	1	5	9	4	0	2	1	2	3	9	1	136
Medical cannabis/marijuana - All Matters	8	4	6	7	2	2	10	9	3	2	4	5	6	2	8	3	1	1	6	10	3	5	5	5	8	0	5	1	2	3	1	4	0	4	6	4	10	9	3	6	2	4	7	2	2	200
"MUNI Special event service, routes, schedules, stops, fares"	8	5	8	2	7	8	9	8	1	7	14	12	11	2	8	4	8	18	13	15	10	5	4	5	5	3	11	2	6	7	8	2	11	5	9	2	2	0	4	0	11	14	14	16	0	324
Neighborhood Patrol - Request Police to Patrol	8	2	3	3	1	4	1	2	0	0	1	0	2	0	1	2	0	0	0	2	0	0	0	1	0	1	1	0	0	1	1	0	1	0	0	1	3	1	0	0	0	1	2	0	0	46
Office of Economic and Workforce Development - General Information	8	2	2	0	4	2	9	3	4	0	2	1	0	1	3	0	1	1	0	1	1	1	2	0	1	1	2	0	0	0	0	1	1	3	1	0	2	1	2	0	0	0	1	0	0	64
Offices under the Mayor	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
Outdoor Public Warning System (OPWS) Siren Information	8	1	0	2	0	3	2	1	3	1	1	0	3	3	3	1	1	1	2	0	0	2	1	1	4	2	8	0	2	1	0	2	5	2	2	2	3	1	0	0	0	1	0	17	0	92
Parking Meter Card Bulk Order	8	8	4	1	3	4	4	1	3	1	4	2	2	0	8	2	0	0	4	4	4	5	5	7	6	3	1	2	6	5	1	6	5	10	5	10	5	2	11	1	0	2	1	1	0	167
Public Records Request/Sunshine Request	8	2	9	4	2	7	5	2	6	7	4	7	5	6	4	4	1	0	2	3	1	1	0	0	2	3	0	5	0	3	0	1	0	2	0	4	3	1	0	1	0	0	6	0	0	121
Public Utilities Commission - General Information	8	0	2	3	1	5	0	2	4	2	10	4	2	5	9	4	2	8	3	5	4	5	2	1	4	2	5	7	5	7	5	4	5	2	4	2	7	0	0	0	3	0	0	5	0	158
Reporting Illegal Use of Apartment as a Short-Term Rental	8	8	6	15	23	16	12	8	8	2	5	2	8	8	22	12	5	4	6	4	5	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196
SFMTA - Temporary Removal of Parking Meter	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
SFMTA Taxi Services - Public Information Requests	8	7	5	5	8	8	5	6	4	4	2	6	6	7	9	10	2	9	7	9	3	7	3	7	6	1	8	5	1	2	1	5	2	3	3	1	0	5	7	2	4	2	5	9	1	220
SFpark Parking Meter / Credit Card Charge dispute / overcharged by meter	8	9	9	11	5	6	18	5	6	10	5	1	2	1	3	6	6	6	5	5	8	2	9	13	8	9	11	7	4	15	14	13	8	13	7	17	22	8	19	11	10	16	10	4	3	388
SSI-SSP Medi-Cal Replacement Cards	8	3	3	9	5	1	2	10	1	3	4	4	5	2	7	0	8	5	8	5	6	5	5	4	6	2	2	7	2	6	4	9	3	3	4	6	9	2	0	6	0	2	2	3	0	191
State Franchise Tax Board (FTB) referrals.	8	14	10	5	10	8	7	9	13	10	21	22	14	10	3	8	7	4	5	6	4	8	8	11	13	5	7	6	5	11	12	5	7	8	9	20	11	13	8	6	5	5	1	4	0	386
Street Tree Maintenance Transfer Plan	8	2	2	4	2	2	7	11	2	3	2	3	1	3	2	5	5	2	8	5	5	2	2	5	1	1	2	1	6	2	4	4	1	2	4	1	3	1	1	1	1	2	4	1	1	137
Street Tree Planting Permitting Process	8	4	5	4	3	10	3	7	4	9	2	7	2	8	4	8	3	15	2	6	3	6	6	5	6	5	5	5	2	4	8	5	13	7	8	7	4	4	1	2	3	5	3	6	1	238
Taxi Scrip - general information - How to obtain taxi scrip	8	7	6	7	9	7	9	2	6	9	6	4	1	1	2	2	2	2	2	1	1	1	1	1	2	1	2	3	2	2	3	5	4	5	2	8	7	1	7	3	2	10	4	3	0	173
Temp Events	8	10	20	10	12	11	16	16	18	11	13	12	8	14	5	14	8	26	24	27	25	21	39	26	24	46	40	37	101	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	681
Traffic Signal - New	8	4	3	3	7	5	4	10	2	4	7	0	3	0	5	3	8	4	3	2	2	2	5	3	1	2	6	3	9	3	3	1	0	3	2	5	7	1	4	0	2	2	4	1	0	156
Transit Lane Camera Enforcement	8	2	1	6	8	4	3	1	5	6	6	0	2	4	5	3	1	7	4	3	2	5	4	4	12	5	7	11	9	6	2	3	10	2	0	7	6	0	0	0	0	0	0	0	0	174
Warrant for my arrest?	8	3	7	1	2	0	4	2	1	3	2	2	5	3	4	1	4	3	3	2	1	3	1	3	3	4	7	2	2	4	0	6	6	6	1	5	5	2	3	2	6	1	2	1	1	137
"Water Meters - Questions, Service, Repair"	8	4	7	8	3	5	9	8	14	14	2	4	5	2	5	7	3	7	6	9	3	4	5	4	2	8	5	4	6	8	7	5	11	5	6	11	7	4	5	6	3	6	8	8	5	276
"Water Quality: Beach, Bay Information, Combined Sewer Overflow"	8	0	2	0	1	1	2	1	1	1	3	1	3	1	3	2	3	4	2	1	4	0	1	2	1	1	0	1	0	1	1	3	1	2	2	2	4	2	2	1	1	2	1	2	0	77
What is the APN (parcel number) of a property?	8	7	8	17	13	15	11	9	14	7	8	11	6	14	6	3	8	2	4	0	2	4	6	4	6	2	7	3	5	4	6	5	8	8	7	12	6	17	18	5	13	15	6	9	7	356
Am I Required to My End Domestic Partnership Before Getting Married?	7	5	7	10	6	4	5	2	4	4	3	5	7	4	7	9	9	4	11	15	8	8	6	8	14	5	8	8	15	8	6	10	10	0	0	0	0	0	0	0	0	0	0	0	0	242
Assessor Recorder - Types of Records Stored in Office	7	3	7	5	4	8	6	4	4	1	2	4	7	6	5	1	2	1	1	2	2	3	5	3	5	3	1	2	17	90	55	75	111	53	42	73	72	71	80	53	75	90	44	60	6	1171
Auction of Defaulted Property	7	9	11	2	10	19	10	7	6	21	25	30	39	13	18	6	8	17	14	14	23	21	15	11	15	19	10	4	1	3	4	11	14	8	6	13	5	7	10	9	9	4	5	5	0	518
"Business Personal Property (BPP, 571L) statement - Get a Copy"	7	7	9	3	2	3	6	19	16	4	21	2	4	0	8	4	2	1	0	0	7	0	2	1	2	1	1	0	0	0	0	2	2	1	5	1	1	0	0	0	0	0	0	0	0	144
Can I do my own property search?	7	10	5	5	4	6	2	4	3	4	4	4	5	15	6	4	5	3	1	3	2	3	3	3	3	0	3	2	2	3	2	3	1	3	5	5	2	7	5	4	2	4	2	2	1	172
City Hall -  Lost and Found	7	3	3	11	6	7	7	8	11	18	16	14	6	8	10	17	10	17	9	11	15	10	10	10	11	6	7	21	9	15	11	9	13	9	8	16	8	11	13	10	13	9	2	8	1	454
Collects fees for processing applications for Dept of Building Inspection and other City agencies involved in the permit process	7	0	4	0	1	3	4	3	4	3	0	2	3	5	1	3	0	2	7	3	3	2	0	2	2	3	2	2	0	1	0	4	3	3	0	0	0	0	0	0	0	0	0	1	0	83
Complaint - Expired Permit - Street Excavation	7	2	2	0	4	2	5	3	2	2	1	0	2	1	1	2	2	3	1	0	0	1	1	1	0	0	0	0	0	2	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	53
Complaint - Residential Toter Abandoned	7	12	5	2	9	0	0	1	3	2	6	3	5	2	12	9	4	19	4	7	12	3	6	3	10	4	18	2	2	4	15	14	8	1	4	5	3	1	3	1	0	3	2	6	0	242
Complaint: gas station is false advertising	7	1	0	0	1	0	0	2	0	0	1	1	1	0	1	0	2	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	3	0	0	31
Complaint: inadequate heating in residential/homeless hotel or shelter	7	1	4	4	4	1	1	1	0	2	1	0	1	5	2	0	1	2	2	2	2	2	0	2	3	2	5	2	0	3	1	1	4	0	2	1	0	1	2	2	2	0	3	1	1	83
Complaint: my neighbor does not have a garbage service and uses other people's trash cans	7	3	2	3	11	6	1	3	9	9	1	4	10	6	2	5	7	3	5	3	5	6	3	4	5	6	5	4	5	7	6	3	4	8	7	2	5	1	10	5	2	5	6	11	0	225
Department of Children Family Youth - Family Support	7	0	1	3	1	0	3	1	4	1	0	2	9	0	2	1	2	1	2	4	2	1	0	2	35	1	0	2	3	9	4	0	0	4	3	3	2	1	1	1	4	0	0	5	1	128
Dept of Technology - IT Help Desk	7	3	5	2	7	8	6	2	4	3	2	4	4	2	8	4	3	0	3	6	2	3	1	2	0	2	1	3	1	5	3	1	1	3	1	2	2	0	0	0	0	0	0	0	1	117
